
--[강의가능과목]
--강의가능과목고유번호, 전체과목번호(FK), 교사고유번호(FK)
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 5, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 15, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 16, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 17, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 18, 1);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 19, 1);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 30, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 5, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 6, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 10, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 22, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 23, 2);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 24, 2);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 7, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 20, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 30, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 8, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 28, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 29, 3);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 3);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 20, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 17, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 18, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 29, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 27, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 26, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 28, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 13, 4);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 14, 4);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 20, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 13, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 30, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 21, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 20, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 31, 5);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 32, 5);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 6);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 19, 6);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 20, 6);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 6);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 15, 6);
