
--강의평가
--강의평가고유번호, 평가내용, 평가점수, 개설과목고유번호, 수강신청고유번호
--종료1강의실, 1과목 (30명)
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '이해잘되게 세세하게 설명해주셔서 너무 좋았습니다.', 10, 1, 1);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '비전공자가 따라가기에 진도가 조금 빨랐습니다ㅜㅜ', 9, 1, 2);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '질문할때마다 잘 답변해주셔서 수업 이해하기가 좋았습니다!', 10, 1, 3);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '코드리뷰시간은 아주 유용한거 같아요!', 10, 1, 4);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '단축키같은 좋은 정보를 다 알려주셔서 너무 좋았습니다ㅎㅎ', 10, 1, 5);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '응용문제는 아직 해결하는데 어려움이 있지만 실력이 많이 좋아졌어요!', 10, 1, 6);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '매일 8시간씩 나가다보니까 복습없이는 따라가기 힘들거같아요', 9, 1,7 );
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '선생님이 시키시는대로만 했는데 실력이 아주 좋아진거 같습니다!!ㅎ', 10, 1, 8);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '자세히 알려주시는데도 따라가기가 벅찼습니다ㅜ', 9, 1, 9);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '첫 과목이 끝났는데 쌍용교육센터 오길 잘했단 생각이 듭니다!', 10, 1, 10);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 친절히 설명해주셔서 너무 좋았습니다.', 10, 1, 11);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 조금 빨랐습니다ㅜㅜ', 9, 1, 12);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '질문할때마다 잘 답변해주셔서 수업 이해하기가 좋았습니다!', 10, 1, 13);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '코드리뷰하면서 실력이 많이 좋아진거같아요!', 10, 1, 14);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '알고있으면 좋을만한 정보들을 많이 알려주셔서 너무 좋았습니다ㅎㅎ', 10, 1, 15);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '응용문제는 아직 해결하는데 어려움이 있지만 실력이 많이 좋아졌어요!', 10, 1, 16);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '매일 진도를 많이 나가서 한번 놓치면 따라가기 힘든것 같아요', 10, 1, 17);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '선생님이 시키시는대로만 했는데 실력이 아주 좋아진거 같습니다!!ㅎ', 10, 1, 18);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 따라가기가 벅찼습니다ㅜ', 8, 1, 19);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '쌍용교육센터 오길 잘했단 생각이 듭니다!', 10, 1, 20);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '설명을 잘해주셔서 따라가기에 어려움이 없었습니다', 10, 1, 21);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '비전공자가 따라가기에 진도가 조금 빨랐습니다ㅜㅜ', 9, 1, 22);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '질문할때마다 잘 답변해주셔서 수업 이해하기가 좋았습니다!', 10, 1, 23);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '코드리뷰하면서 다양한 시각을 가지게 되는거 같아요!', 10, 1, 24);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '단축키같은 좋은 정보를 다 알려주셔서 너무 좋았습니다ㅎㅎ', 10, 1, 25);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '적응 못할 때 좋은 얘기 많이 해주셔서 무사히 첫 과목 잘 마친거 같아요!', 10, 1, 26);
