
--성적
--INSERT INTO tblScore VALUES(scoreSeq.nextval, 필기, 실기, 출석, 시험고유번호, 수강신청고유번호);
--1강의실(30)명 
--종료 1강의실,1과목

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 1, 1);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 1, 2);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 1, 3);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 35, 30, 1, 4);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 1, 5);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 1, 6);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 1, 7);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 1, 8);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 1, 9);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 1, 10);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 1, 11);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 1, 12);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 1, 13);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 1, 14);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 1, 15);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 1, 16);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 1, 17);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 1, 18);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 1, 19);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 1, 20);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 1, 21);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 1, 22);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 39, 30, 1, 23);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 1, 24);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 1, 25);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 1, 26);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 1, 27);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 1, 28);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 1, 29);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 31, 30, 1, 30);

--2과목

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 2, 1);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 2, 2);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 2, 3);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 2, 4);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 2, 5);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 2, 6);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 2, 7);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 2, 8);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 2, 9);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 35, 30, 2, 10);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 2, 11);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 2, 12);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 2, 13);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 2, 14);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 2, 15);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 2, 16);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 2, 17);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 2, 18);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 2, 19);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 39, 30, 2, 20);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 2, 21);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 2, 22);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 2, 23);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 2, 24);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 2, 25);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 2, 26);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 2, 27);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 2, 28);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 2, 29);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 2, 30);

--3과목

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 3, 1);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 3, 2);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 35, 30, 3, 3);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 19, 38, 30, 3, 4);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 3, 5);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 3, 6);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 38, 30, 3, 7);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 3, 8);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 3, 9);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 3, 10);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 3, 11);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 3, 12);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 3, 13);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 3, 14);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 3, 15);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 3, 16);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 3, 17);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 3, 18);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 3, 19);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 3, 20);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 3, 21);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 29, 38, 30, 3, 22);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 39, 30, 3, 23);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 3, 24);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 3, 25);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 3, 26);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 3, 27);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 32, 30, 3, 28);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 3, 29);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 3, 30);

--4과목

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 4, 1);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 4, 2);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 4, 3);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 4, 4);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 4, 5);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 4, 6);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 4, 7);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 4, 8);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 4, 9);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 35, 30, 4, 10);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 4, 11);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 4, 12);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 4, 13);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 4, 14);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 4, 15);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 4, 16);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 4, 17);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 4, 18);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 4, 19);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 39, 30, 4, 20);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 4, 21);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 4, 22);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 4, 23);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 4, 24);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 4, 25);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 4, 26);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 4, 27);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 4, 28);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 4, 29);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 4, 30);

--5과목


INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 5, 1);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 5, 2);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 35, 30, 5, 3);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 19, 38, 30, 5, 4);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 5, 5);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 5, 6);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 38, 30, 5, 7);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 5, 8);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 5, 9);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 5, 10);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 5, 11);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 5, 12);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 5, 13);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 5, 14);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 5, 15);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 5, 16);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 5, 17);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 5, 18);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 5, 19);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 5, 20);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 5, 21);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 29, 38, 30, 5, 22);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 39, 30, 5, 23);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 5, 24);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 5, 25);
