--취업현황
--취업현황고유번호, 회사명, 연봉, 근무지, 교육종료교육생고유번호
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'오경컴텍','3000','서울',1);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'오경컴텍','3000','서울',2);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'퀸텍','3200','서울',3);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'퀸텍','3200','서울',4);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'기비아','3500','경기도',5);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'대보정보통신','3300','경기도',6);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'DB','3500','서울',7);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'롯데정보통신','3100','서울',8);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'링네트','3300','서울',9);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'메티넷대우정보','3800','서울',10);

INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'삼성에스디에스','3500','서울',11);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'신세계IC','3300','서울',12);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'쌍용정보통신','3400','서울',13);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'CJ오리브네트웍스','3500','경기도',14);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'아시아나IDT','3500','경기도',15);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'아이티센','3700','인천',16);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'에스넷','3300','인천',17);
INSERT INTO tblemployment (employmentSeq, companyName, annualincome, area, completestudentseq) VALUES (employmentSeq.nextval,'에스넷','3300','인천',18);
